topology,nodes,k,method,objective,time_sec,gap_pct,status
ARPANET,4,1,ILP,994.6634135264627,1.3550000190734863,0.0,Optimal
ARPANET,4,1,Greedy,994.6634135264627,0.0,0.0,Heuristic
ARPANET,4,1,LocalSearch,994.6634135264627,0.0,0.0,Heuristic
ARPANET,4,2,ILP,46.616139936534445,0.042999982833862305,0.0,Optimal
ARPANET,4,2,Greedy,46.616139936534445,0.0,0.0,Heuristic
ARPANET,4,2,LocalSearch,46.616139936534445,0.0,0.0,Heuristic
ARPANET,4,3,ILP,0.0,0.03400015830993652,0.0,Optimal
ARPANET,4,3,Greedy,0.0,0.0,0.0,Heuristic
ARPANET,4,3,LocalSearch,0.0,0.0,0.0,Heuristic
Renam,5,1,ILP,160.67410410769003,0.009000062942504883,0.0,Optimal
Renam,5,1,Greedy,160.67410410769003,0.0,0.0,Heuristic
Renam,5,1,LocalSearch,160.67410410769003,0.0,0.0,Heuristic
Renam,5,2,ILP,63.03586059205662,0.032000064849853516,0.0,Optimal
Renam,5,2,Greedy,63.03586059205662,0.0,0.0,Heuristic
Renam,5,2,LocalSearch,63.03586059205662,0.0,0.0,Heuristic
Renam,5,3,ILP,13.293820302714641,0.02700018882751465,0.0,Optimal
Renam,5,3,Greedy,13.293820302714641,0.0,0.0,Heuristic
Renam,5,3,LocalSearch,13.293820302714641,0.0,0.0,Heuristic
DataXchange,6,1,ILP,1324.0709904179205,0.007999897003173828,0.0,Optimal
DataXchange,6,1,Greedy,1324.0709904179205,0.0,0.0,Heuristic
DataXchange,6,1,LocalSearch,1324.0709904179205,0.0,0.0,Heuristic
DataXchange,6,2,ILP,4.320775075498613,0.03099989891052246,0.0,Optimal
DataXchange,6,2,Greedy,4.320775075498613,0.0,0.0,Heuristic
DataXchange,6,2,LocalSearch,4.320775075498613,0.0,0.0,Heuristic
DataXchange,6,3,ILP,0.0,0.03399991989135742,0.0,Optimal
DataXchange,6,3,Greedy,0.0,0.0,0.0,Heuristic
DataXchange,6,3,LocalSearch,0.0,0.0,0.0,Heuristic
DataXchange,6,5,ILP,0.0,0.029999971389770508,0.0,Optimal
DataXchange,6,5,Greedy,0.0,0.0,0.0,Heuristic
DataXchange,6,5,LocalSearch,0.0,0.0,0.0,Heuristic
Epoch,6,1,ILP,4473.048560045488,0.010999917984008789,2.0332770582836674e-14,Optimal
Epoch,6,1,Greedy,4473.048560045487,0.0,0.0,Heuristic
Epoch,6,1,LocalSearch,4473.048560045487,0.0,0.0,Heuristic
Epoch,6,2,ILP,491.793966485435,0.0280001163482666,0.0,Optimal
Epoch,6,2,Greedy,1475.381899456305,0.0,200.0,Heuristic
Epoch,6,2,LocalSearch,491.793966485435,0.0,0.0,Heuristic
Epoch,6,3,ILP,0.0,0.0279998779296875,0.0,Optimal
Epoch,6,3,Greedy,0.0,0.0,0.0,Heuristic
Epoch,6,3,LocalSearch,0.0,0.0,0.0,Heuristic
Epoch,6,5,ILP,0.0,0.029999971389770508,0.0,Optimal
Epoch,6,5,Greedy,0.0,0.0,0.0,Heuristic
Epoch,6,5,LocalSearch,0.0,0.0,0.0,Heuristic
Layer42,6,1,ILP,7837.77845916876,0.008999824523925781,0.0,Optimal
Layer42,6,1,Greedy,7837.77845916876,0.0,0.0,Heuristic
Layer42,6,1,LocalSearch,7837.77845916876,0.0,0.0,Heuristic
Layer42,6,2,ILP,550.7781557872514,0.03099989891052246,0.0,Optimal
Layer42,6,2,Greedy,550.7781557872514,0.0,0.0,Heuristic
Layer42,6,2,LocalSearch,550.7781557872514,0.0,0.0,Heuristic
Layer42,6,3,ILP,0.0,0.029000043869018555,0.0,Optimal
Layer42,6,3,Greedy,0.0,0.0,0.0,Heuristic
Layer42,6,3,LocalSearch,0.0,0.0,0.0,Heuristic
Layer42,6,5,ILP,0.0,0.03600001335144043,0.0,Optimal
Layer42,6,5,Greedy,0.0,0.0,0.0,Heuristic
Layer42,6,5,LocalSearch,0.0,0.0,0.0,Heuristic
MREN,6,1,ILP,103.41800236660048,0.010999917984008789,0.0,Optimal
MREN,6,1,Greedy,103.41800236660049,0.0,1.3741180829259077e-14,Heuristic
MREN,6,1,LocalSearch,103.41800236660049,0.0,1.3741180829259077e-14,Heuristic
MREN,6,2,ILP,54.37940216404552,0.029999971389770508,0.0,Optimal
MREN,6,2,Greedy,54.37940216404552,0.0,0.0,Heuristic
MREN,6,2,LocalSearch,54.37940216404552,0.0,0.0,Heuristic
MREN,6,3,ILP,24.33442042787372,0.03299999237060547,0.0,Optimal
MREN,6,3,Greedy,24.33442042787372,0.0,0.0,Heuristic
MREN,6,3,LocalSearch,24.33442042787372,0.0,0.0,Heuristic
MREN,6,5,ILP,0.0,0.034999847412109375,0.0,Optimal
MREN,6,5,Greedy,0.0,0.0,0.0,Heuristic
MREN,6,5,LocalSearch,0.0,0.0,0.0,Heuristic
NapNet,6,1,ILP,1867.2603093307164,0.012000083923339844,0.0,Optimal
NapNet,6,1,Greedy,1867.2603093307164,0.0,0.0,Heuristic
NapNet,6,1,LocalSearch,1867.2603093307164,0.0,0.0,Heuristic
NapNet,6,2,ILP,503.140866115348,0.03500008583068848,0.0,Optimal
NapNet,6,2,Greedy,503.140866115348,0.0,0.0,Heuristic
NapNet,6,2,LocalSearch,503.140866115348,0.0,0.0,Heuristic
NapNet,6,3,ILP,0.0,0.03500008583068848,0.0,Optimal
NapNet,6,3,Greedy,0.0,0.0,0.0,Heuristic
NapNet,6,3,LocalSearch,0.0,0.0,0.0,Heuristic
NapNet,6,5,ILP,0.0,0.031000137329101562,0.0,Optimal
NapNet,6,5,Greedy,0.0,0.0,0.0,Heuristic
NapNet,6,5,LocalSearch,0.0,0.0,0.0,Heuristic
TelecomSerbia,6,1,ILP,330.1351198867577,0.01399993896484375,0.0,Optimal
TelecomSerbia,6,1,Greedy,330.1351198867577,0.0,0.0,Heuristic
TelecomSerbia,6,1,LocalSearch,330.1351198867577,0.0,0.0,Heuristic
TelecomSerbia,6,2,ILP,56.6141271875514,0.04199981689453125,0.0,Optimal
TelecomSerbia,6,2,Greedy,56.6141271875514,0.0,0.0,Heuristic
TelecomSerbia,6,2,LocalSearch,56.6141271875514,0.0,0.0,Heuristic
TelecomSerbia,6,3,ILP,19.77048919770806,0.026000022888183594,0.0,Optimal
TelecomSerbia,6,3,Greedy,19.77048919770806,0.0,0.0,Heuristic
TelecomSerbia,6,3,LocalSearch,19.77048919770806,0.0,0.0,Heuristic
TelecomSerbia,6,5,ILP,0.0,0.03800010681152344,0.0,Optimal
TelecomSerbia,6,5,Greedy,0.0,0.0,0.0,Heuristic
TelecomSerbia,6,5,LocalSearch,0.0,0.0,0.0,Heuristic
BASNET,7,1,ILP,429.3521222569064,0.012000083923339844,0.0,Optimal
BASNET,7,1,Greedy,429.3521222569064,0.0,0.0,Heuristic
BASNET,7,1,LocalSearch,429.3521222569064,0.0,0.0,Heuristic
BASNET,7,2,ILP,256.0492164659065,0.0410001277923584,0.0,Optimal
BASNET,7,2,Greedy,256.0492164659065,0.0,0.0,Heuristic
BASNET,7,2,LocalSearch,256.0492164659065,0.0,0.0,Heuristic
BASNET,7,3,ILP,136.09936946050874,0.03299999237060547,2.0883057388925668e-14,Optimal
BASNET,7,3,Greedy,136.0993694605087,0.0,0.0,Heuristic
BASNET,7,3,LocalSearch,136.0993694605087,0.0,0.0,Heuristic
BASNET,7,5,ILP,14.089576231992492,0.03399991989135742,0.0,Optimal
BASNET,7,5,Greedy,14.089576231992492,0.0,0.0,Heuristic
BASNET,7,5,LocalSearch,14.089576231992492,0.0,0.0,Heuristic
GetNet,7,1,ILP,8135.15516083878,0.009999990463256836,0.0,Optimal
GetNet,7,1,Greedy,8135.15516083878,0.0,0.0,Heuristic
GetNet,7,1,LocalSearch,8135.15516083878,0.0,0.0,Heuristic
GetNet,7,2,ILP,778.7364966636338,0.03299999237060547,0.0,Optimal
GetNet,7,2,Greedy,778.7364966636338,0.0,0.0,Heuristic
GetNet,7,2,LocalSearch,778.7364966636338,0.0010001659393310547,0.0,Heuristic
GetNet,7,3,ILP,0.0,0.03399991989135742,0.0,Optimal
GetNet,7,3,Greedy,0.0,0.0,0.0,Heuristic
GetNet,7,3,LocalSearch,0.0,0.0,0.0,Heuristic
GetNet,7,5,ILP,0.0,0.031000137329101562,0.0,Optimal
GetNet,7,5,Greedy,0.0,0.0,0.0,Heuristic
GetNet,7,5,LocalSearch,0.0,0.0,0.0,Heuristic
Heanet,7,1,ILP,391.5015290726957,0.007999897003173828,0.0,Optimal
Heanet,7,1,Greedy,391.5015290726957,0.0,0.0,Heuristic
Heanet,7,1,LocalSearch,391.5015290726957,0.0,0.0,Heuristic
Heanet,7,2,ILP,61.65977902577004,0.03299999237060547,0.0,Optimal
Heanet,7,2,Greedy,61.65977902577004,0.0,0.0,Heuristic
Heanet,7,2,LocalSearch,61.65977902577004,0.0,0.0,Heuristic
Heanet,7,3,ILP,0.0,0.03099989891052246,0.0,Optimal
Heanet,7,3,Greedy,0.0,0.0,0.0,Heuristic
Heanet,7,3,LocalSearch,0.0,0.0,0.0,Heuristic
Heanet,7,5,ILP,0.0,0.0410001277923584,0.0,Optimal
Heanet,7,5,Greedy,0.0,0.0,0.0,Heuristic
Heanet,7,5,LocalSearch,0.0,0.0,0.0,Heuristic
Netrail,7,1,ILP,3350.108100999531,0.00800013542175293,0.0,Optimal
Netrail,7,1,Greedy,3350.1081009995314,0.0,1.3574109765317324e-14,Heuristic
Netrail,7,1,LocalSearch,3350.1081009995314,0.0,1.3574109765317324e-14,Heuristic
Netrail,7,2,ILP,747.8898880986454,0.029999971389770508,1.5201012813616347e-14,Optimal
Netrail,7,2,Greedy,800.1106246453808,0.0,6.9824097608132965,Heuristic
Netrail,7,2,LocalSearch,747.8898880986453,0.0,0.0,Heuristic
Netrail,7,3,ILP,0.0,0.029999971389770508,0.0,Optimal
Netrail,7,3,Greedy,0.0,0.0,0.0,Heuristic
Netrail,7,3,LocalSearch,0.0,0.0,0.0,Heuristic
Netrail,7,5,ILP,0.0,0.03099989891052246,0.0,Optimal
Netrail,7,5,Greedy,0.0,0.0,0.0,Heuristic
Netrail,7,5,LocalSearch,0.0,0.0,0.0,Heuristic
NORDU,7,1,ILP,1880.1449505991675,0.009000062942504883,0.0,Optimal
NORDU,7,1,Greedy,1880.1449505991675,0.0,0.0,Heuristic
NORDU,7,1,LocalSearch,1880.1449505991675,0.0,0.0,Heuristic
NORDU,7,2,ILP,622.1343521210861,0.03500008583068848,0.0,Optimal
NORDU,7,2,Greedy,622.1343521210862,0.0,1.827367952501185e-14,Heuristic
NORDU,7,2,LocalSearch,622.1343521210862,0.0,1.827367952501185e-14,Heuristic
NORDU,7,3,ILP,292.5238869957083,0.03699994087219238,0.0,Optimal
NORDU,7,3,Greedy,292.5238869957083,0.0,0.0,Heuristic
NORDU,7,3,LocalSearch,292.5238869957083,0.0,0.0,Heuristic
NORDU,7,5,ILP,0.0,0.034999847412109375,0.0,Optimal
NORDU,7,5,Greedy,0.0,0.0,0.0,Heuristic
NORDU,7,5,LocalSearch,0.0,0.0,0.0,Heuristic
Sanren,7,1,ILP,1745.8857771051998,0.013000011444091797,0.0,Optimal
Sanren,7,1,Greedy,1745.8857771051998,0.0,0.0,Heuristic
Sanren,7,1,LocalSearch,1745.8857771051998,0.0,0.0,Heuristic
Sanren,7,2,ILP,386.56024866018254,0.032000064849853516,0.0,Optimal
