topology,nodes,edges,method,k,objective,time_sec
ARPANET,4,4,Greedy,3,0.0,0.0
ARPANET,4,4,LocalSearch,3,0.0,0.0
ARPANET,4,4,ILP,3,0.0,0.013000011444091797
Renam,5,4,Greedy,3,13.293820302714641,0.0
Renam,5,4,LocalSearch,3,13.293820302714641,0.0
Renam,5,4,ILP,3,13.293820302714641,0.01699995994567871
DataXchange,6,11,Greedy,3,0.0,0.0
DataXchange,6,11,LocalSearch,3,0.0,0.0
DataXchange,6,11,ILP,3,0.0,0.015000104904174805
Epoch,6,7,Greedy,3,0.0,0.0
Epoch,6,7,LocalSearch,3,0.0,0.0
Epoch,6,7,ILP,3,0.0,0.02200007438659668
Layer42,6,7,Greedy,3,0.0,0.0
Layer42,6,7,LocalSearch,3,0.0,0.0
Layer42,6,7,ILP,3,0.0,0.017999887466430664
MREN,6,5,Greedy,3,24.33442042787372,0.0
MREN,6,5,LocalSearch,3,24.33442042787372,0.0
MREN,6,5,ILP,3,24.33442042787372,0.020999908447265625
NapNet,6,7,Greedy,3,0.0,0.0
NapNet,6,7,LocalSearch,3,0.0,0.0
NapNet,6,7,ILP,3,0.0,0.019999980926513672
TelecomSerbia,6,6,Greedy,3,19.77048919770806,0.0
TelecomSerbia,6,6,LocalSearch,3,19.77048919770806,0.0
TelecomSerbia,6,6,ILP,3,19.77048919770806,0.019999980926513672
BASNET,7,6,Greedy,3,136.0993694605087,0.0
BASNET,7,6,LocalSearch,3,136.0993694605087,0.0
BASNET,7,6,ILP,3,136.09936946050874,0.021000146865844727
GetNet,7,8,Greedy,3,0.0,0.0
GetNet,7,8,LocalSearch,3,0.0,0.0
GetNet,7,8,ILP,3,0.0,0.018000125885009766
Heanet,7,11,Greedy,3,0.0,0.0
Heanet,7,11,LocalSearch,3,0.0,0.0
Heanet,7,11,ILP,3,0.0,0.019999980926513672
Netrail,7,10,Greedy,3,0.0,0.0
Netrail,7,10,LocalSearch,3,0.0,0.0
Netrail,7,10,ILP,3,0.0,0.018000125885009766
NORDU,7,6,Greedy,3,292.5238869957083,0.0
NORDU,7,6,LocalSearch,3,292.5238869957083,0.0
NORDU,7,6,ILP,3,292.5238869957083,0.021000146865844727
Sanren,7,7,Greedy,3,91.56292691657552,0.0
Sanren,7,7,LocalSearch,3,91.56292691657552,0.0
Sanren,7,7,ILP,3,91.56292691657552,0.01900005340576172
GlobalNetRu,8,7,Greedy,3,213.75027992019437,0.0
GlobalNetRu,8,7,LocalSearch,3,213.75027992019437,0.0
GlobalNetRu,8,7,ILP,3,213.75027992019437,0.017999887466430664
Hibernia Atlantic (Ireland),8,8,Greedy,3,0.0,0.0
Hibernia Atlantic (Ireland),8,8,LocalSearch,3,0.0,0.0
Hibernia Atlantic (Ireland),8,8,ILP,3,0.0,0.017999887466430664
ARPANET,9,10,Greedy,3,1.0242071769845593,0.0
ARPANET,9,10,LocalSearch,3,1.0242071769845593,0.0
ARPANET,9,10,ILP,3,1.0242071769845704,0.01900005340576172
GlobalCenter,9,36,Greedy,3,0.0,0.0
GlobalCenter,9,36,LocalSearch,3,0.0,0.0
GlobalCenter,9,36,ILP,3,0.0,0.018000125885009766
GridNet,9,20,Greedy,3,0.0,0.0
GridNet,9,20,LocalSearch,3,0.0,0.0
GridNet,9,20,ILP,3,0.0,0.017999887466430664
NORDU,9,9,Greedy,3,271.5813139359808,0.0
NORDU,9,9,LocalSearch,3,271.5813139359808,0.0
NORDU,9,9,ILP,3,271.5813139359808,0.019999980926513672
AI3,10,9,Greedy,3,16.738872137982355,0.0
AI3,10,9,LocalSearch,3,16.738872137982355,0.0
AI3,10,9,ILP,3,16.73887213798236,0.016000032424926758
CESNET,10,9,Greedy,3,73.09298788738002,0.0
CESNET,10,9,LocalSearch,3,73.09298788738002,0.0
CESNET,10,9,ILP,3,73.09298788738002,0.01699995994567871
NSFCNET,10,10,Greedy,3,0.0,0.0
NSFCNET,10,10,LocalSearch,3,0.0,0.0
NSFCNET,10,10,ILP,3,0.0,0.019999980926513672
Abilene,11,14,Greedy,3,218.99381514635985,0.0
Abilene,11,14,LocalSearch,3,200.490432552829,0.0
Abilene,11,14,ILP,3,200.490432552829,0.023000001907348633
Itnet,11,10,Greedy,3,169.31784985600385,0.0
Itnet,11,10,LocalSearch,3,169.31784985600385,0.0
Itnet,11,10,ILP,3,169.31784985600385,0.01699995994567871
