topology,nodes,k,method,objective,time_sec
GEANT,40,1,Greedy,7538.954888484588,0.0
GEANT,40,1,LocalSearch,7538.954888484586,0.0
GEANT,40,1,ILP,7538.954888484588,0.07999992370605469
GEANT,40,2,Greedy,5011.623391871645,0.0
GEANT,40,2,LocalSearch,3351.3478120634113,0.0
GEANT,40,2,ILP,3351.3478120634118,0.10400009155273438
GEANT,40,3,Greedy,2544.4446615784086,0.0
GEANT,40,3,LocalSearch,2150.977053016685,0.0010001659393310547
GEANT,40,3,ILP,2150.977053016685,0.10199999809265137
GEANT,40,5,Greedy,903.2027424006067,0.0
GEANT,40,5,LocalSearch,353.21568117834806,0.0009999275207519531
GEANT,40,5,ILP,353.2156811783481,0.08599996566772461
GEANT,40,7,Greedy,326.41630756337713,0.0
GEANT,40,7,LocalSearch,174.29249236199328,0.002000093460083008
GEANT,40,7,ILP,174.29249236199328,0.08100008964538574
GEANT,40,10,Greedy,99.52105477284462,0.0
GEANT,40,10,LocalSearch,67.53331146568662,0.003000020980834961
GEANT,40,10,ILP,60.46851539587806,0.0839998722076416
GEANT,40,15,Greedy,2.416710023580736,0.0
GEANT,40,15,LocalSearch,2.4167100235807366,0.006999969482421875
GEANT,40,20,Greedy,0.0,0.0
GEANT,40,20,LocalSearch,0.0,0.007999897003173828
ION,125,1,Greedy,12565.86902417715,0.0
ION,125,1,LocalSearch,12565.869024177146,0.0
ION,125,1,ILP,12565.869024177151,3.9830000400543213
ION,125,2,Greedy,7238.902054127877,0.0
ION,125,2,LocalSearch,4880.172278826745,0.0009999275207519531
ION,125,2,ILP,4880.172278826816,1.3029999732971191
ION,125,3,Greedy,2270.922358322214,0.0
ION,125,3,LocalSearch,2270.922358322214,0.0009999275207519531
ION,125,3,ILP,2270.9223583222147,1.1679999828338623
ION,125,5,Greedy,1410.8191896385802,0.0
ION,125,5,LocalSearch,1200.505094894249,0.00800013542175293
ION,125,5,ILP,1200.5050948942476,6.2200000286102295
ION,125,7,Greedy,856.1788943141316,0.0
ION,125,7,LocalSearch,680.551154101322,0.023000001907348633
ION,125,7,ILP,680.551154101322,1.059999942779541
ION,125,10,Greedy,407.55635451902623,0.0
ION,125,10,LocalSearch,329.98420303647526,0.04800009727478027
ION,125,10,ILP,329.98420303647526,1.0179998874664307
ION,125,15,Greedy,159.93408604906858,0.0
ION,125,15,LocalSearch,132.23251066445906,0.13499999046325684
ION,125,20,Greedy,63.69239491266554,0.0
ION,125,20,LocalSearch,57.20660682131029,0.3020000457763672
Cogent ,197,1,Greedy,255987.8412790503,0.0
Cogent ,197,1,LocalSearch,255987.84127905016,0.0
Cogent ,197,1,ILP,255987.84127905025,27.685999870300293
Cogent ,197,2,Greedy,18821.902436659628,0.0
Cogent ,197,2,LocalSearch,15380.065847918037,0.003000020980834961
Cogent ,197,2,ILP,15380.065847918033,4.4649999141693115
Cogent ,197,3,Greedy,13035.366933291518,0.0
Cogent ,197,3,LocalSearch,9480.81557791029,0.006000041961669922
Cogent ,197,3,ILP,9480.81557791029,3.9189999103546143
Cogent ,197,5,Greedy,6762.460587413499,0.0
Cogent ,197,5,LocalSearch,5379.376766334366,0.029999971389770508
Cogent ,197,5,ILP,5379.376766334368,4.2149999141693115
Cogent ,197,7,Greedy,4066.977430138684,0.0009999275207519531
Cogent ,197,7,LocalSearch,3414.4150904806074,0.07500004768371582
Cogent ,197,7,ILP,3414.4150904806065,4.026000022888184
Cogent ,197,10,Greedy,2282.9239692443234,0.0009999275207519531
Cogent ,197,10,LocalSearch,1793.54682778075,0.14299988746643066
Cogent ,197,10,ILP,1793.5468277807458,10.049000024795532
Cogent ,197,15,Greedy,686.7130656790025,0.0009999275207519531
Cogent ,197,15,LocalSearch,586.3030702061862,0.4549999237060547
Cogent ,197,20,Greedy,280.5766206393982,0.0009999275207519531
Cogent ,197,20,LocalSearch,262.05556526954217,0.7820000648498535
