topology,nodes,edges,avg_degree,density,max_betweenness,num_exits,k,greedy_obj,ls_obj,best_obj,greedy_time,ls_time
ARPANET,4,4,2.0,0.6667,0.6667,3,3,0.0,0.0,0.0,0.0,0.0
Renam,5,4,1.6,0.4,1.0,4,3,13.29,13.29,13.29,0.0,0.0
DataXchange,6,11,3.67,0.7333,0.4,3,3,0.0,0.0,0.0,0.0,0.0
Epoch,6,7,2.33,0.4667,0.3333,3,3,0.0,0.0,0.0,0.0,0.0
Layer42,6,7,2.33,0.4667,0.7,3,3,0.0,0.0,0.0,0.0,0.0
MREN,6,5,1.67,0.3333,1.0,5,3,24.33,24.33,24.33,0.0,0.0
NapNet,6,7,2.33,0.4667,0.75,3,3,0.0,0.0,0.0,0.0,0.0
TelecomSerbia,6,6,2.0,0.4,0.2,3,3,19.77,19.77,19.77,0.0,0.0
BASNET,7,6,1.71,0.2857,1.0,6,3,136.1,136.1,136.1,0.0,0.0
GetNet,7,8,2.29,0.381,0.5,3,3,0.0,0.0,0.0,0.0,0.0
Heanet,7,11,3.14,0.5238,0.4333,3,3,0.0,0.0,0.0,0.0,0.0
Netrail,7,10,2.86,0.4762,0.4,3,3,0.0,0.0,0.0,0.0,0.0
NORDU,7,6,1.71,0.2857,0.9333,5,3,292.52,292.52,292.52,0.0,0.0
Sanren,7,7,2.0,0.3333,0.2,3,3,91.56,91.56,91.56,0.0,0.0
GlobalNetRu,8,7,1.75,0.25,0.8571,5,3,213.75,213.75,213.75,0.0,0.0
Hibernia Atlantic (Ireland),8,8,2.0,0.2857,0.5714,3,3,0.0,0.0,0.0,0.0,0.0
ARPANET,9,10,2.22,0.2778,0.6071,3,3,1.02,1.02,1.02,0.0,0.0
GlobalCenter,9,36,8.0,1.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0
GridNet,9,20,4.44,0.5556,0.0893,3,3,0.0,0.0,0.0,0.0,0.0
NORDU,9,9,2.0,0.25,0.8929,6,3,271.58,271.58,271.58,0.0,0.0
AI3,10,9,1.8,0.2,0.9444,7,3,16.74,16.74,16.74,0.0,0.0
CESNET,10,9,1.8,0.2,0.9167,8,3,73.09,73.09,73.09,0.0,0.0
NSFCNET,10,10,2.0,0.2222,0.625,3,3,0.0,0.0,0.0,0.0,0.0
Abilene,11,14,2.55,0.2545,0.3407,3,3,218.99,200.49,200.49,0.0,0.0
Itnet,11,10,1.82,0.1818,1.0,10,3,169.32,169.32,169.32,0.0,0.0
Singaren,11,10,1.82,0.1818,1.0,10,3,19.11,19.11,19.11,0.0,0.0
Sprint,11,18,3.27,0.3273,0.3537,3,3,0.0,0.0,0.0,0.0,0.0
Janet External,12,10,1.67,0.1515,0.4727,9,3,0.0,0.0,0.0,0.0,0.0
T-lex,12,13,2.17,0.197,0.7455,8,3,26.4,20.2,20.2,0.0,0.0
CESNET,13,12,1.85,0.1538,0.7273,8,3,76.87,76.87,76.87,0.0,0.0
CESNET,13,12,1.85,0.1538,0.9091,11,3,78.79,78.79,78.79,0.0,0.0
EEnet,13,13,2.0,0.1667,0.7727,8,3,134.13,113.24,113.24,0.0,0.0
Hibernia Atlantic (Canada),13,14,2.15,0.1795,0.3333,3,3,0.0,0.0,0.0,0.0,0.0
KREONET,13,12,1.85,0.1538,0.9394,10,3,148.69,148.69,148.69,0.0,0.0
Navigata ,13,17,2.62,0.2179,0.5114,6,3,712.56,712.56,712.56,0.0,0.0
NSF,13,15,2.31,0.1923,0.4318,3,3,138.16,138.16,138.16,0.0,0.0
UniNet,13,18,2.77,0.2308,0.5682,3,3,0.0,0.0,0.0,0.0,0.0
Compuserve,14,17,2.43,0.1868,0.6688,3,3,0.0,0.0,0.0,0.0,0.0
ILAN,14,15,2.14,0.1648,0.6603,9,3,32.01,32.01,32.01,0.0,0.0
NORDU,14,13,1.86,0.1429,0.9231,12,3,634.88,634.88,634.88,0.0,0.0
Claranet,15,18,2.4,0.1714,0.5769,6,3,496.48,396.56,396.56,0.0,0.0
euNetworks ,15,16,2.13,0.1524,0.2857,3,3,0.0,0.0,0.0,0.0,0.0
Hibernia Atlantic (UK),15,15,2.0,0.1429,0.3626,3,3,97.51,77.73,77.73,0.0,0.0
PADI2,15,6,0.8,0.0571,0.1648,6,3,0.0,0.0,0.0,0.0,0.0
SpiraLight,15,16,2.13,0.1524,0.6044,3,3,49.17,8.62,8.62,0.0,0.0
Airtel,16,26,3.25,0.2167,0.3016,8,3,10510.57,10510.57,10510.57,0.0,0.0
GARR,16,18,2.25,0.15,0.4762,12,3,263.92,263.92,263.92,0.0,0.0
GRENA,16,15,1.88,0.125,0.6476,7,3,100.84,61.73,61.73,0.0,0.0
Hostway International,16,21,2.62,0.175,0.4429,4,3,1891.07,214.18,214.18,0.0,0.0
KentMan,16,17,2.12,0.1417,0.5381,7,3,16.37,8.07,8.07,0.0,0.0
MARWAN,16,17,2.12,0.1417,0.5,7,3,30.9,30.9,30.9,0.0,0.0
peer1,16,20,2.5,0.1667,0.3933,3,3,0.0,0.0,0.0,0.0,0.0
RHnet,16,18,2.25,0.15,0.6143,4,3,18.2,18.2,18.2,0.0,0.0
FatMan,17,21,2.47,0.1544,0.5667,8,3,123.28,123.28,123.28,0.0,0.0
GoodNet,17,31,3.65,0.2279,0.3047,4,3,244.51,244.51,244.51,0.0,0.0
Nextgen ,17,19,2.24,0.1397,0.4667,4,3,450.53,428.4,428.4,0.0,0.0
ANS,18,25,2.78,0.1634,0.3069,4,3,1036.82,779.25,779.25,0.0,0.0
ARPANET,18,22,2.44,0.1438,0.3468,4,3,11.71,11.71,11.71,0.0,0.0
BSONetworkSolutions,18,23,2.56,0.1503,0.4101,6,3,778.78,778.78,778.78,0.0,0.0
Hibernia Atlantic (N. Ireland),18,21,2.33,0.1373,0.3676,4,3,147.95,48.69,48.69,0.0,0.0
Highwinds,18,31,3.44,0.2026,0.3575,4,3,59.6,59.6,59.6,0.0,0.0
IBM,18,24,2.67,0.1569,0.2817,4,3,424.09,424.09,424.09,0.0,0.0
JGN2plus-Japan,18,17,1.89,0.1111,0.8162,11,3,587.87,587.87,587.87,0.0,0.0
NORDU,18,17,1.89,0.1111,0.5809,12,3,0.0,0.0,0.0,0.0,0.0
Pacific-Wave,18,22,2.44,0.1438,0.6507,8,3,477.97,477.97,477.97,0.0,0.0
Sago,18,17,1.89,0.1111,0.6618,3,3,21.81,21.81,21.81,0.0,0.0
AARNET,19,24,2.53,0.1404,0.4535,4,3,1128.17,430.54,430.54,0.0,0.0
EasyNet ,19,26,2.74,0.152,0.5365,6,3,604.65,604.65,604.65,0.0,0.0
InternetMCI,19,33,3.47,0.193,0.2455,4,3,20.13,20.13,20.13,0.0,0.0
Noel Communications ,19,25,2.63,0.1462,0.5489,4,3,70.12,70.12,70.12,0.0,0.0
RedIris,19,31,3.26,0.1813,0.6471,4,3,155.29,155.29,155.29,0.0,0.0
Restena,19,21,2.21,0.1228,0.5915,9,3,7.82,7.79,7.79,0.0,0.0
Savvis,19,20,2.11,0.117,0.4771,4,3,322.09,322.09,322.09,0.0,0.0
BT Asia-Pacific,20,31,3.1,0.1632,0.5645,6,3,4403.53,2205.05,2205.05,0.0,0.0
Electric Lightwave,20,30,3.0,0.1579,0.3696,4,3,1447.37,1447.37,1447.37,0.0,0.0
Janet Lense,20,34,3.4,0.1789,0.4386,3,3,18.0,18.0,18.0,0.0,0.0
MARNET,20,27,2.7,0.1421,0.7982,10,3,5.07,5.07,5.07,0.0,0.001
Oxford,20,26,2.6,0.1368,0.6335,4,3,30.34,30.34,30.34,0.0,0.0
Quest ,20,31,3.1,0.1632,0.3908,4,3,3245.24,2897.34,2897.34,0.0,0.0
TWAREN,20,20,2.0,0.1053,0.5877,16,3,36.85,29.8,29.8,0.0,0.0
ATMnet,21,22,2.1,0.1048,0.4711,5,3,1381.36,1381.36,1381.36,0.0,0.0
BELNET,21,24,2.29,0.1143,0.5079,5,3,90.36,90.36,90.36,0.0,0.0
