topology,nodes,k,method,objective,pct_above_best,time_sec
ARPANET,4,1,Greedy,994.66,0.0,0.0
ARPANET,4,1,LocalSearch,994.66,0.0,0.0
ARPANET,4,1,Betweenness,994.66,0.0,0.012
ARPANET,4,1,HighDegree,994.66,0.0,0.0
ARPANET,4,1,Random,994.66,0.0,0.0
ARPANET,4,3,Greedy,0.0,0.0,0.0
ARPANET,4,3,LocalSearch,0.0,0.0,0.0
ARPANET,4,3,Betweenness,948.05,0.0,0.0
ARPANET,4,3,HighDegree,948.05,0.0,0.0
ARPANET,4,3,Random,0.0,0.0,0.0
Renam,5,1,Greedy,160.67,0.0,0.0
Renam,5,1,LocalSearch,160.67,0.0,0.0
Renam,5,1,Betweenness,160.67,0.0,0.0
Renam,5,1,HighDegree,160.67,0.0,0.0
Renam,5,1,Random,160.67,0.0,0.0
Renam,5,3,Greedy,13.29,0.0,0.0
Renam,5,3,LocalSearch,13.29,0.0,0.0
Renam,5,3,Betweenness,13.29,0.0,0.0
Renam,5,3,HighDegree,13.29,0.0,0.0
Renam,5,3,Random,13.29,0.0,0.0
DataXchange,6,1,Greedy,1324.07,0.0,0.0
DataXchange,6,1,LocalSearch,1324.07,0.0,0.0
DataXchange,6,1,Betweenness,1872.12,41.39,0.0
DataXchange,6,1,HighDegree,1872.12,41.39,0.0
DataXchange,6,1,Random,1324.07,0.0,0.0
DataXchange,6,3,Greedy,0.0,0.0,0.0
DataXchange,6,3,LocalSearch,0.0,0.0,0.0
DataXchange,6,3,Betweenness,4.32,0.0,0.0
DataXchange,6,3,HighDegree,4.32,0.0,0.0
DataXchange,6,3,Random,0.0,0.0,0.0
DataXchange,6,5,Greedy,0.0,0.0,0.0
DataXchange,6,5,LocalSearch,0.0,0.0,0.0
DataXchange,6,5,Betweenness,0.0,0.0,0.0
DataXchange,6,5,HighDegree,4.32,0.0,0.0
DataXchange,6,5,Random,0.0,0.0,0.0
Epoch,6,1,Greedy,4473.05,0.0,0.0
